citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,proclamation_number
85 FR 6699, 2020-02422,6707,https://www.federalregister.gov/documents/2020/02/05/2020-02422/improving-enhanced-vetting-capabilities-and-processes-for-detecting-attempted-entry-into-the-united,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02422.pdf,Presidential Document,Proclamation,02/05/2020,2020-01-31,6699,Improving Enhanced Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,"",9983
85 FR 6709, 2020-02424,6712,https://www.federalregister.gov/documents/2020/02/05/2020-02424/suspension-of-entry-as-immigrants-and-nonimmigrants-of-persons-who-pose-a-risk-of-transmitting-2019,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02424.pdf,Presidential Document,Proclamation,02/05/2020,2020-01-31,6709,Suspension of Entry as Immigrants and Nonimmigrants of Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus and Other Appropriate Measures To Address This Risk,"",9984
85 FR 6715, 2020-02427,6716,https://www.federalregister.gov/documents/2020/02/05/2020-02427/american-heart-month-2020,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02427.pdf,Presidential Document,Proclamation,02/05/2020,2020-01-31,6715,"American Heart Month, 2020","",9985
85 FR 6717, 2020-02428,6718,https://www.federalregister.gov/documents/2020/02/05/2020-02428/career-and-technical-education-month-2020,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02428.pdf,Presidential Document,Proclamation,02/05/2020,2020-01-31,6717,"Career and Technical Education Month, 2020","",9986
85 FR 6719, 2020-02429,6720,https://www.federalregister.gov/documents/2020/02/05/2020-02429/national-african-american-history-month-2020,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02429.pdf,Presidential Document,Proclamation,02/05/2020,2020-01-31,6719,"National African American History Month, 2020","",9987
85 FR 12715, 2020-04544,12716,https://www.federalregister.gov/documents/2020/03/04/2020-04544/american-red-cross-month-2020,https://www.govinfo.gov/content/pkg/FR-2020-03-04/pdf/2020-04544.pdf,Presidential Document,Proclamation,03/04/2020,2020-02-28,12715,"American Red Cross Month, 2020","",9988
85 FR 12717, 2020-04547,12718,https://www.federalregister.gov/documents/2020/03/04/2020-04547/irish-american-heritage-month-2020,https://www.govinfo.gov/content/pkg/FR-2020-03-04/pdf/2020-04547.pdf,Presidential Document,Proclamation,03/04/2020,2020-02-28,12717,"Irish-American Heritage Month, 2020","",9989
85 FR 12719, 2020-04550,12720,https://www.federalregister.gov/documents/2020/03/04/2020-04550/womens-history-month-2020,https://www.govinfo.gov/content/pkg/FR-2020-03-04/pdf/2020-04550.pdf,Presidential Document,Proclamation,03/04/2020,2020-02-28,12719,"Women's History Month, 2020","",9990
85 FR 12721, 2020-04555,12722,https://www.federalregister.gov/documents/2020/03/04/2020-04555/national-consumer-protection-week-2020,https://www.govinfo.gov/content/pkg/FR-2020-03-04/pdf/2020-04555.pdf,Presidential Document,Proclamation,03/04/2020,2020-02-28,12721,"National Consumer Protection Week, 2020","",9991
85 FR 12855, 2020-04595,12858,https://www.federalregister.gov/documents/2020/03/04/2020-04595/suspension-of-entry-as-immigrants-and-nonimmigrants-of-certain-additional-persons-who-pose-a-risk-of,https://www.govinfo.gov/content/pkg/FR-2020-03-04/pdf/2020-04595.pdf,Presidential Document,Proclamation,03/04/2020,2020-02-29,12855,Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,"",9992
