citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
89 FR 27355, 2024-08332,27356,https://www.federalregister.gov/documents/2024/04/17/2024-08332/covid-19-and-public-health-preparedness-and-response,https://www.govinfo.gov/content/pkg/FR-2024-04-17/pdf/2024-08332.pdf,Presidential Document,Executive Order,04/17/2024,2024-04-12,27355,COVID-19 and Public Health Preparedness and Response,"See: EO 13987, January 20, 2021; EO 13994, January 21, 2021; EO 13996, January 21, 2021
Revokes: EO 13910, March 23, 2020; EO 13991, January 20, 2021; EO 13998, January 21, 2021",14122,""
89 FR 22327, 2024-06931,22329,https://www.federalregister.gov/documents/2024/04/01/2024-06931/recognizing-and-honoring-womens-history,https://www.govinfo.gov/content/pkg/FR-2024-04-01/pdf/2024-06931.pdf,Presidential Document,Executive Order,04/01/2024,2024-03-27,22327,Recognizing and Honoring Women's History,"See: EO 13985, January 20, 2021; EO 14020, March 8, 2021; EO 14091, February 16, 2023",14121,""
89 FR 20095, 2024-06123,20099,https://www.federalregister.gov/documents/2024/03/21/2024-06123/advancing-womens-health-research-and-innovation,https://www.govinfo.gov/content/pkg/FR-2024-03-21/pdf/2024-06123.pdf,Presidential Document,Executive Order,03/21/2024,2024-03-18,20095,Advancing Women's Health Research and Innovation,"See: EO 14110, October 30, 2023; Memo. of November 13, 2023",14120,""
89 FR 17265, 2024-05220,17270,https://www.federalregister.gov/documents/2024/03/11/2024-05220/scaling-and-expanding-the-use-of-registered-apprenticeships-in-industries-and-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2024-03-11/pdf/2024-05220.pdf,Presidential Document,Executive Order,03/11/2024,2024-03-06,17265,Scaling and Expanding the Use of Registered Apprenticeships in Industries and the Federal Government and Promoting Labor-Management Forums,"Supersedes: EO 13522, December 9, 2009
Revokes: EO 13812, September 29, 2017
See: EO 14035, June 25, 2021

",14119,""
89 FR 15945, 2024-04857,15946,https://www.federalregister.gov/documents/2024/03/05/2024-04857/termination-of-emergency-with-respect-to-the-situation-in-zimbabwe,https://www.govinfo.gov/content/pkg/FR-2024-03-05/pdf/2024-04857.pdf,Presidential Document,Executive Order,03/05/2024,2024-03-04,15945,Termination of Emergency With Respect to the Situation in Zimbabwe,"Revokes: EO 13288, March 6, 2003; EO 13391, November 22, 2005; EO 13469, July 25, 2008",14118,""
89 FR 15421, 2024-04573,15430,https://www.federalregister.gov/documents/2024/03/01/2024-04573/preventing-access-to-americans-bulk-sensitive-personal-data-and-united-states-government-related,https://www.govinfo.gov/content/pkg/FR-2024-03-01/pdf/2024-04573.pdf,Presidential Document,Executive Order,03/01/2024,2024-02-28,15421,Preventing Access to Americans' Bulk Sensitive Personal Data and United States Government-Related Data by Countries of Concern,"Amends: EO 13873, May 15, 2019; EO 14034, June 9, 2021
See: EO 13694, April 1, 2015; EO 13913, April 4, 2020",14117,""
89 FR 13971, 2024-04012,13974,https://www.federalregister.gov/documents/2024/02/26/2024-04012/amending-regulations-relating-to-the-safeguarding-of-vessels-harbors-ports-and-waterfront-facilities,https://www.govinfo.gov/content/pkg/FR-2024-02-26/pdf/2024-04012.pdf,Presidential Document,Executive Order,02/26/2024,2024-02-21,13971,"Amending Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States","See: EO 10173, October 18, 1950",14116,""
89 FR 7605, 2024-02354,7608,https://www.federalregister.gov/documents/2024/02/05/2024-02354/imposing-certain-sanctions-on-persons-undermining-peace-security-and-stability-in-the-west-bank,https://www.govinfo.gov/content/pkg/FR-2024-02-05/pdf/2024-02354.pdf,Presidential Document,Executive Order,02/05/2024,2024-02-01,7605,"Imposing Certain Sanctions on Persons Undermining Peace, Security, and Stability in the West Bank","See: Proclamation 8693, July 24, 2011",14115,""
88 FR 89259, 2023-28661,89270,https://www.federalregister.gov/documents/2023/12/26/2023-28661/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2023-12-26/pdf/2023-28661.pdf,Presidential Document,Executive Order,12/26/2023,2023-12-21,89259,Adjustments of Certain Rates of Pay," Supersedes: EO 14090, December 23, 2022",14113,""
88 FR 89271, 2023-28662,89274,https://www.federalregister.gov/documents/2023/12/26/2023-28662/taking-additional-steps-with-respect-to-the-russian-federations-harmful-activities,https://www.govinfo.gov/content/pkg/FR-2023-12-26/pdf/2023-28662.pdf,Presidential Document,Executive Order,12/26/2023,2023-12-22,89271,Taking Additional Steps With Respect to the Russian Federation's Harmful Activities,"Amends: EO 14024, May 15, 2021; EO 14068,  March 11, 2022
See: EO 14039, August 20, 2021; EO 14066, March 8, 2022; EO 14071, April 6, 2022",14114,""
88 FR 86021, 2023-27318,86025,https://www.federalregister.gov/documents/2023/12/11/2023-27318/reforming-federal-funding-and-support-for-tribal-nations-to-better-embrace-our-trust,https://www.govinfo.gov/content/pkg/FR-2023-12-11/pdf/2023-27318.pdf,Presidential Document,Executive Order,12/11/2023,2023-12-06,86021,Reforming Federal Funding and Support for Tribal Nations To Better Embrace Our Trust Responsibilities and Promote the Next Era of Tribal Self-Determination,"See: EO 14058, December 13, 2021",14112,""
88 FR 83809, 2023-26569,83812,https://www.federalregister.gov/documents/2023/12/01/2023-26569/interagency-security-committee,https://www.govinfo.gov/content/pkg/FR-2023-12-01/pdf/2023-26569.pdf,Presidential Document,Executive Order,12/01/2023,2023-11-27,83809,Interagency Security Committee,"Revokes: EO 12977, October 19, 1995
Supersedes: EO 12977,  October 19, 1995",14111,""
88 FR 75191, 2023-24283,75226,https://www.federalregister.gov/documents/2023/11/01/2023-24283/safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence,https://www.govinfo.gov/content/pkg/FR-2023-11-01/pdf/2023-24283.pdf,Presidential Document,Executive Order,11/01/2023,2023-10-30,75191,"Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence","See: EO 12250, November 2, 1980; EO 12333, December 4, 1981; EO 13694, April 1, 2015; EO 13757, December 28, 2016; EO 13960, December 3, 2020; EO 13984, January 19, 2021; EO 14074, May 25, 2022; EO 14091, February 16, 2023; EO 14120, March 18, 2024",14110,""
