citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,proclamation_number
89 FR 3533, 2024-01114,3534,https://www.federalregister.gov/documents/2024/01/19/2024-01114/martin-luther-king-jr-federal-holiday-2024,https://www.govinfo.gov/content/pkg/FR-2024-01-19/pdf/2024-01114.pdf,Presidential Document,Proclamation,01/19/2024,2024-01-12,3533,"Martin Luther King, Jr., Federal Holiday, 2024","",10696
89 FR 3535, 2024-01115,3536,https://www.federalregister.gov/documents/2024/01/19/2024-01115/religious-freedom-day-2024,https://www.govinfo.gov/content/pkg/FR-2024-01-19/pdf/2024-01115.pdf,Presidential Document,Proclamation,01/19/2024,2024-01-12,3535,"Religious Freedom Day, 2024","",10697
86 FR 57749, 2021-22877,57750,https://www.federalregister.gov/documents/2021/10/19/2021-22877/blind-americans-equality-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-10-19/pdf/2021-22877.pdf,Presidential Document,Proclamation,10/19/2021,2021-10-14,57749,"Blind Americans Equality Day, 2021","",10288
86 FR 58197, 2021-23049,58197,https://www.federalregister.gov/documents/2021/10/20/2021-23049/national-peace-officers-memorial-service,https://www.govinfo.gov/content/pkg/FR-2021-10-20/pdf/2021-23049.pdf,Presidential Document,Proclamation,10/20/2021,2021-10-15,58197,National Peace Officers' Memorial Service,"",10289
86 FR 58199, 2021-23051,58200,https://www.federalregister.gov/documents/2021/10/20/2021-23051/national-character-counts-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-10-20/pdf/2021-23051.pdf,Presidential Document,Proclamation,10/20/2021,2021-10-15,58199,"National Character Counts Week, 2021","",10290
86 FR 58201, 2021-23052,58202,https://www.federalregister.gov/documents/2021/10/20/2021-23052/national-forest-products-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-10-20/pdf/2021-23052.pdf,Presidential Document,Proclamation,10/20/2021,2021-10-15,58201,"National Forest Products Week, 2021","",10291
86 FR 58203, 2021-23094,58204,https://www.federalregister.gov/documents/2021/10/21/2021-23094/death-of-general-colin-powell,https://www.govinfo.gov/content/pkg/FR-2021-10-21/pdf/2021-23094.pdf,Presidential Document,Proclamation,10/21/2021,2021-10-18,58203,Death of General Colin Powell,"",10292
89 FR 7599, 2024-02343,7600,https://www.federalregister.gov/documents/2024/02/05/2024-02343/american-heart-month-2024,https://www.govinfo.gov/content/pkg/FR-2024-02-05/pdf/2024-02343.pdf,Presidential Document,Proclamation,02/05/2024,2024-01-31,7599,"American Heart Month, 2024","",10698
89 FR 7601, 2024-02344,7602,https://www.federalregister.gov/documents/2024/02/05/2024-02344/national-black-history-month-2024,https://www.govinfo.gov/content/pkg/FR-2024-02-05/pdf/2024-02344.pdf,Presidential Document,Proclamation,02/05/2024,2024-01-31,7601,"National Black History Month, 2024","",10699
89 FR 7603, 2024-02349,7604,https://www.federalregister.gov/documents/2024/02/05/2024-02349/national-teen-dating-violence-awareness-and-prevention-month-2024,https://www.govinfo.gov/content/pkg/FR-2024-02-05/pdf/2024-02349.pdf,Presidential Document,Proclamation,02/05/2024,2024-01-31,7603,"National Teen Dating Violence Awareness and Prevention Month, 2024","",10700
88 FR 85091, 2023-27043,85092,https://www.federalregister.gov/documents/2023/12/07/2023-27043/death-of-sandra-day-oconnor,https://www.govinfo.gov/content/pkg/FR-2023-12-07/pdf/2023-27043.pdf,Presidential Document,Proclamation,12/07/2023,2023-12-04,85091,Death of Sandra Day O'Connor,"",10682
89 FR 9739, 2024-02934,9740,https://www.federalregister.gov/documents/2024/02/12/2024-02934/national-tribal-colleges-and-universities-week-2024,https://www.govinfo.gov/content/pkg/FR-2024-02-12/pdf/2024-02934.pdf,Presidential Document,Proclamation,02/12/2024,2024-02-06,9739,"National Tribal Colleges and Universities Week, 2024","",10701
89 FR 14561, 2024-04258,14562,https://www.federalregister.gov/documents/2024/02/28/2024-04258/national-eating-disorders-awareness-week-2024,https://www.govinfo.gov/content/pkg/FR-2024-02-28/pdf/2024-04258.pdf,Presidential Document,Proclamation,02/28/2024,2024-02-23,14561,"National Eating Disorders Awareness Week, 2024","",10702
89 FR 15949, 2024-04876,15951,https://www.federalregister.gov/documents/2024/03/06/2024-04876/national-consumer-protection-week-2024,https://www.govinfo.gov/content/pkg/FR-2024-03-06/pdf/2024-04876.pdf,Presidential Document,Proclamation,03/06/2024,2024-03-01,15949,"National Consumer Protection Week, 2024","",10707
